Feature,Importance
SlogP_VSA6,0.002432619201213111
Kappa2,0.002337382712454234
fr_hdrzone,0.002287423948258041
TPSA,0.0022169547857599976
FpDensityMorgan1,0.002175508838060123
Chi4v,0.00211892867315369
fr_Nhpyrrole,0.0020783489851743447
PEOE_VSA5,0.0019873182139323723
MolMR,0.0019305430984785522
fr_Imine,0.001789356794586204
PEOE_VSA13,0.0017838971785560207
EState_VSA7,0.0015630663424353825
HeavyAtomCount,0.0014816547122916638
fr_para_hydroxylation,0.0014626909722306094
NumHAcceptors,0.0014345303413431287
LabuteASA,0.0013695002460908706
fr_Ar_NH,0.001345755413833271
VSA_EState1,0.0011957893491329182
EState_VSA6,0.0011515992202585452
Kappa1,0.0011347641143160502
NumAliphaticHeterocycles,0.001089146206575113
Chi0v,0.0010325305266002762
fr_unbrch_alkane,0.0009921182476778712
fr_Al_OH_noTert,0.0009317629946160339
PEOE_VSA2,0.0009151643529272159
PEOE_VSA10,0.0008977046536279875
NumUnspecifiedAtomStereoCenters,0.0008854327424998857
fr_thiazole,0.0008596307168728181
VSA_EState2,0.0008592764825265617
SlogP_VSA3,0.0008418357422810254
MolWt,0.0008153549382844595
Chi3v,0.0008027868586399958
fr_NH2,0.0006679994900276696
Chi1v,0.0006614684943474507
fr_NH1,0.0005917305287424728
Kappa3,0.0005350289126670687
EState_VSA1,0.0005299411640376921
Chi1n,0.00042710021604108484
PEOE_VSA3,0.00040849831644505276
fr_aniline,0.00036015750667000077
NumSaturatedHeterocycles,0.00029874150263300156
SlogP_VSA2,0.0002923955735058617
SMR_VSA5,0.00026535196172845587
Chi3n,0.0002649290181682315
fr_guanido,9.668105178485218e-05
NumAromaticRings,8.801511785739807e-05
NumHeteroatoms,8.016828632869599e-05
Chi2n,2.8724386988492227e-05
fr_ether,1.3735332065870276e-05
fr_Ar_N,1.3286626345637258e-05
fr_imidazole,0.0
fr_imide,0.0
NumAliphaticRings,0.0
fr_ketone,0.0
fr_phos_acid,0.0
fr_urea,0.0
fr_sulfide,0.0
fr_quatN,0.0
fr_pyridine,0.0
fr_priamide,0.0
fr_phos_ester,0.0
fr_nitro_arom_nonortho,0.0
fr_ketone_Topliss,0.0
fr_epoxide,0.0
fr_nitro_arom,0.0
fr_nitro,0.0
fr_nitrile,0.0
fr_methoxy,0.0
fr_lactone,0.0
fr_ester,0.0
EState_VSA2,0.0
fr_bicyclic,0.0
SMR_VSA2,0.0
NumAromaticCarbocycles,0.0
NumAromaticHeterocycles,0.0
NumAtomStereoCenters,0.0
NumAliphaticCarbocycles,0.0
NumHeterocycles,0.0
NumRadicalElectrons,0.0
NOCount,0.0
NumSaturatedCarbocycles,0.0
NumSaturatedRings,0.0
NumSpiroAtoms,0.0
NumValenceElectrons,0.0
PEOE_VSA4,0.0
RingCount,0.0
FractionCSP3,0.0
fr_benzene,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
SlogP_VSA7,0.0
EState_VSA11,0.0
fr_Al_OH,0.0
fr_ArN,0.0
fr_Ar_COO,0.0
fr_COO,0.0
fr_COO2,0.0
fr_NH0,0.0
fr_Ndealkylation1,0.0
fr_Ndealkylation2,0.0
fr_aryl_methyl,0.0
SMR_VSA4,0.0
